Element Name,Element Description,Source Name,Source Table Name,Data Type,Length,List of Values,Security Classification,Archived
payload.data.coreData.accelSet.yaw,"Yaw rotation rate of the vehicle about its vertical axis, in 0.01 degrees per second. Positive yaw is to the right (clockwise). This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.accelSet.lat,"Acceleration along the vehicle's lateral axis, in 0.01 m/s^2. Positive lateral axis is to the right side of the vehicle (facing forward). A value of 2000 is used for values greater than 2000, and a value of -2000 is used for values less than -2000. A value of 2001 is used for Unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.accelSet.long,"Acceleration value along the vehicle's longitudinal axis, in 0.01 m/s^2. Positive longitudinal axis is to the front of the vehicle. A value of 2000 is used for values greater than 2000, and a value of -2000 is used for values less than -2000. A value of 2001 is used for Unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.accelSet.vert,"Acceleration value along the vehicle's vertical axis, in 0.02 G (0.02 G = 0.1962 m/s^2). Positive vertical ""z"" axis is downward with zero point at the bottom of the vehicle's tires. A value of +127 is used for ranges >= 2.54 G, and a value of -126 is used for ranges <= 2.52 G. A value of -127 is used for Unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.angle,"The angle of the driver's steering wheel, in 1.5 degrees. A value of +126 is used for +189 degrees and beyond. A value of +127 is used for unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.accuracy.orientation,"Positional accuracy of the semi major axis orientation, in 360/65535 degree (0.0054932479 degree). This is used to orient the angle of the semi-major axis of an ellipsoid representing the accuracy which can be expected from a GNSS system with respect to the coordinate system. A value of 65535 is used for orientation unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.accuracy.semiMajor,"Positional accuracy of the semi-major axis, in 5 cm. This is used to express the radius (length) of the semi-major axis of an ellipsoid representing the accuracy which can be expected from a GNSS system in 5cm steps, typically at a one sigma level of confidence. A value 254 is used for any value equal or greater than 12.70 m. A value of 255 is used for semi-major axis unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.accuracy.semiMinor,"Positional accuracy of semi-minor axis, in 5 cm. This is used to express the radius of the semi-minor axis of an ellipsoid representing the accuracy which can be expected from a GNSS system in 5cm steps, typically at a one sigma level of confidence. A value 254 is used for any value equal or greater than 12.70 m. A value of 255 is used for semi-minor axis unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.transmission,"Transmission state - current state of the vehicle transmission (neutral, park, forwardGears, reverseGears, reserved1, reserved2, reserved3, unavailable). This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.speed,"Vehicle speed, expressed in unsigned units of 0.02 meters per second. A value of 8191 shall be used when the speed is unavailable. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.heading,"Heading of the sending device, expressed in unsigned units of 0.0125 degrees from North such that 28799 such degrees represent 359.9875 degrees. North shall be defined as the axis prescribed by the WGS-84 coordinate system and its reference ellipsoid. Headings ""to the east"" are defined as the positive direction. A value of 28800 shall be used when unavailable. This element indicates the direction of motion of the device. When the sending device is stopped and the trajectory (path) over which it traveled to reach that location is well known, the past heading may be used. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.brakes.wheelBrakes,"The Brake Applied Status data element indicates independently for each of four wheels whether braking is currently active. The four wheels are designated Left Front, Right Front, Left Rear, and Right Rear. The indicated status of a wheel is set to 1 if brakes are active on that wheel, or to 0 if brakes are inactive on that wheel. On a vehicle with only one front wheel, the brake-applied status is represented by the Left Front wheel indicator and the Right Front indicator is always set to zero. Similarly, on a vehicle with only one rear wheel the brake-applied status is represented by the Left Rear wheel indicator and the Right Rear indicator is always set to zero. If a vehicle has more than two front wheels (respectively more than two rear wheels) with independent braking, the collective brake-applied status of these wheels is mapped to the Left Front and Right Front (respectively Left Rear and Right Rear) indicators in a locally defined manner. Brake Applied Status could be used by a traffic management center to determine that an incident has occurred or congestion may be present. It is possible for some vehicles to provide an indication of how hard the braking action is Ð this is handled in another data element (DE_BrakeAppliedPressure).",N/A,N/A,text,,,Public,No
payload.data.coreData.brakes.traction,"Traction control status - reflects the status of the vehicle traction control system. The element can inform others that the vehicle is not equipped with traction control or, if equipped, if the traction control status is unavailable. If the vehicle is equipped with traction control and the status is available, the element reports whether the system is in an Off, On or Engaged state. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.brakes.abs,"Anti-lock brake status - reflects the status of the vehicle ABS and can inform others that the vehicle is not equipped with ABS or, if equipped, if the ABS status is unavailable (0). If the vehicle is equipped with ABS and the status is available, the element reports whether the system is in an Off (1), On (2) or Engaged (3) state. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.brakes.scs,"Stability control status - reflects the current state of the stability control system. The element can inform others that the vehicle is not equipped with stability control or, if equipped, if the stability control status is unavailable. If the vehicle is equipped with stability control and the status is available, the element reports whether the system is in an Off, On or Engaged state. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.brakes.brakeBoost,"Auxiliary brake status - reflects the status of the auxiliary brakes (sometimes referred to as the parking brake) of the vehicle. The element can inform others that the vehicle is not equipped with auxiliary brakes or, if equipped, if the auxiliary brakes status is unavailable. If the vehicle is equipped with auxiliary brakes and the status is available, the element reports whether the auxiliary brakes are in a fully released (Off) state or in an engaged or in the process of being engaged (On) state. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.brakes.auxBrakes,"Auxiliary brake status - reflects the status of the auxiliary brakes (sometimes referred to as the parking brake) of the vehicle. The element can inform others that the vehicle is not equipped with auxiliary brakes or, if equipped, if the auxiliary brakes status is unavailable. If the vehicle is equipped with auxiliary brakes and the status is available, the element reports whether the auxiliary brakes are in a fully released (Off) state or in an engaged or in the process of being engaged (On) state. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.coreData.size,"Vehicle size, representing the vehicle length and vehicle width in cm. This field is a stringified json object and is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE,List of BSM Part Two information.,N/A,N/A,list(object),,,Public,No
payload.data.partII.SEQUENCE.partII-Id,Index of the partII message in the SEQUENCE array.,N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.SupplementalVehicleExtensions.classification,"BSM Part Two Supplemental Vehicle Extension basic vehicle class - common classification system to categorize DSRC- equipped devices for various cross-cutting uses. Use ""transit-LocalBus"" for HART buses, use ""transit-FixedGuideway"" for TECO streetcars. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.SupplementalVehicleExtensions.classDetails.hpmsType,"BSM Part Two Supplemental Vehicle Extension vehicle type - a type list (i.e., a classification list) of the vehicle in terms of overall size. The data element entries follow the definitions defined in the US DOT Highway Performance Monitoring System (HPMS). Many infrastructure roadway operators collect and classify data according to this list for regulatory reporting needs. Within the ITS industry and within the DSRC message set standards work, there are many similar lists of types for overlapping needs and uses. This field is based on the J2735 Standard. Use HPMS classes: ""car"" for light vehicles, ""bus"" for HART buses, ""unknown"" for TECO streetcars.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.SupplementalVehicleExtensions.classDetails.role,"BSM Part Two Supplemental Vehicle Extension basic vehicle role - provides a means to indicate the current role that a DSRC device is playing. This is most commonly employed when a vehicle needs to take on another role in order to send certain DSRC message types. As an example, when a public safety vehicle such as a police car wishes to send a signal request message (SRM) to an intersection to request a preemption service, the vehicle takes on the role ""police"" from the below list in both the SRM message itself and also in the type of security CERT which is sent (the SSP in the CERT it used to identify the requester as being of type ""police"" and that they are allowed to send this message in this way). The BasicVehicleRole entry is often used and combined with other information about the requester as well, such as details of why the request is being made. Use role ""transit""for both HART buses and for TECO streetcars. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.SupplementalVehicleExtensions.vehicleData.height,"BSM Part Two Supplemental Vehicle Extension vehicle data vehicle height - The height of the vehicle, measured from the ground to the highest surface, excluding any antenna(s), and expressed in units of 5 cm. In cases of vehicles with adjustable ride heights, camper shells, and other devices which may cause the overall height to vary, the largest possible height will be used. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.SupplementalVehicleExtensions.vehicleData.mass,BSM Part Two Supplemental Vehicle Extension vehicle data vehicle mass - estimated weight of the vehicle over a span of stepwise linear values. Values 000 to 080 are in steps of 50kg. Values 081 to 200 are in steps of 500kg. Values 201 to 253 are in steps of 2000kg. This provides a value range from zero to in excess of 170000 kg. The weight should reflect the current gross mass of vehicle and contents if known. The value 254 is used for weights above 170000 kg. The value 255 is used when the value is unknown or unavailable. This field is based on the J2735 Standard.,N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.SupplementalVehicleExtensions.vehicleData.bumpers.front,"BSM Part Two Supplemental Vehicle Extension vehicle data front bumper height - the height of the front bumper of the vehicle or object (can also be used with trailers), in units of 0.01 meters from ground surface. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.SupplementalVehicleExtensions.vehicleData.bumpers.rear,"BSM Part Two Supplemental Vehicle Extension vehicle data rear bumper height - the height of the rear bumper of the vehicle or object (can also be used with trailers), in units of 0.01 meters from ground surface. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.VehicleSafetyExtension.events,"BSM Part Two Vehicle Safety Extension Vehicle event flags - the sender's state with regard to a set of events, in bit string. For each event, the sender has the option to set the flag to 1 if the stated criteria are met, but it is not required to do so. The order in the bit string is: eventHazardLights, eventStopLineViolation, eventABSactivated, eventTractionControlLoss, eventStabilityControlactivated, eventHazardousMaterials, eventReserved1, eventHardBraking, eventLightsChanged, eventWipersChanged, eventFlatTire, eventDisabledVehicle, eventAirBagDeployment. The field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.VehicleSafetyExtensions.pathHistory.crumbData.PathHistoryPoint,"BSM Part Two Vehicle Safety Extension - Path History point list in stringified json format. The Path History defines a geometric path reflecting time-tagged vehicle movement over some period of time and/or distance. A sequence of Path History Points is used along with an initial position (and the GNSS status at that time) to create a set of straight line segments representing the path. For each Path History point, the lat-long offset units support units of 1/10th micro degrees of lat and long. The elevation offset units are in 10cm units. The time is expressed in units of 10 milliseconds. The PositionalAccuracy entry uses 3 elements to relate the pseudorange noise measured in the system. The heading and speed are not offset values, and follow the units defined in the ASN comments. All of these items are defined further in the relevant data entries. This field is a stringified array of json objects and is based on the J2735 Standard.",N/A,N/A,list(object),,,Public,No
payload.data.partII.SEQUENCE.partII-Value.VehicleSafetyExtensions.pathPrediction.confidence,"BSM Part Two Vehicle Safety Extension - Path Prediction confidence, in units of 0.5 percent. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.VehicleSafetyExtensions.pathPrediction.radiusofcurve,"BSM Part Two Vehicle Safety Extension - Path Prediction radius of curve, in units of 10cm. An estimate of the current trajectory of the sender. The value is represented as a first order of curvature approximation, as a circle with a radius R and an origin located at (0,R), where the x-axis is bore sight from the transmitting vehicle's perspective and normal to the vehicle's vertical axis. The vehicle's (x,y,z) coordinate frame follows the SAE convention. Radius R will be positive for curvatures to the right when observed from the transmitting vehicle's perspective. Radii shall be capped at a maximum value supported by the Path Prediction radius data type. Overflow of this data type shall be interpreted by the receiving vehicle as ""a straight path"" prediction. The radius can be derived from a number of sources including, but not limited to, map databases, rate sensors, vision systems, and global positioning. Straight path will use value of 32767. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
payload.data.partII.SEQUENCE.partII-Value.VehicleSafetyExtensions.lights,"BSM Part Two Vehicle Safety Extension Exterior Lights. The status of various exterior lights (when such data is available) encoded in a bit string which can be used to relate the current vehicle settings. The order in the bit string is: lowBeamHeadlightsOn, highBeamHeadlightsOn, leftTurnSignalOn, rightTurnSignalOn, hazardSignalOn, automaticLightControlOn, daytimeRunningLightsOn, fogLightOn, parkingLightsOn. This field is based on the J2735 Standard.",N/A,N/A,text,,,Public,No
